ew	mc	pps
0.008250822792	0.001380677032	0.0139530833
0.0003899041895	0.000722297617	0.002584742975
0.001065563836	0.002245771546	0.00128630161
0.0001489262465	0.004292621166	0.003835544536
0.003017996657	0.0005448882481	0.0003819596094
0.001068953961	0.0008586615267	0.004112531848
0.01070448623	0.01634378152	0.008346284152
0.00866991462	0.006328483802	7.588815015e-05
0.005228604045	0.004316828869	0.0003754844602
0.0006613702879	0.007089849422	0.004119912696
0.00252904926	0.002874830817	0.002076876519
0.0009734690562	7.053534419e-05	0.002576252998
3.899819908e-05	0.001746854586	0.003325769742
0.0006078294764	0.00091554596	0.003392569569
0.0005626792194	0.001183022436	0.002063140111
0.0008407489452	0.001431956986	0.003493600327
0.001330603166	0.0006999904524	0.003276870531
0.001994152742	0.001271259614	0.00406996842
0.00034795174	0.000309207774	0.005317020903
0.0005974875477	0.0008802474295	0.00378968239
0.001565793274	0.001130235623	0.001480694923
0.005172800609	0.004779602483	0.008786862673
0.002067670535	0.003205368419	0.02145908243
0.0004212295929	0.0003180663871	0.002309150584
0.005146531877	0.005101944312	0.009752338777
0.004638504175	0.00749102626	0.008434486963
0.003083611098	0.009214161839	4.9931985e-05
0.0001661856706	0.002391755273	0.008615888301
0	0	0
3.059897358e-05	0.005870393415	0.005961669588
4.573914074e-05	0.0009717949433	0.001647938704
9.685075353e-05	0.001829321247	0.004084753915
0.0006009374478	0.009376270384	0.005238759786
0.001170440431	0.003643781393	0.004819084781
0.0002438633657	0.001156602563	0.004653508197
0.003818505371	0.004151465804	0.01503574264
0.0003916023511	0.001631030632	0.004071326911
0.0003997553119	0.0103063276	0.0005066800165
0.0008107758275	0.001369591464	0.002468900061
0.0008189688501	0.0002775952155	0.003432759878
0.0001201634877	0.004463461833	8.837420527e-05
0.0002179836512	0.004883096256	5.449591281e-05
0.0003474432544	0.001222516146	0.001756968355
0.008273138393	0.009326146671	0.003288355343
0.0003046726525	0.002031688668	0.002123485566
0.0001044114672	0.00043501061	0.003509123082
6.236751103e-05	0.001839973379	0.003787597025
0.001381261115	0.001194941065	0.004254809907
0.01295296121	0.0003734599197	0.01087135679
0.001345790688	0.000706263025	0.003128308587
0.01493007575	0.01441275937	0.002472405699
0.0009443347207	0.01979097769	0.001495526452
0.002055338428	0.005512171691	0.002806576499
0.002893728834	0.005716470163	0.001677621762
0.001917475562	0.0004411263196	0.003564802541
0.01473561474	0.002092162112	0.008715313672
7.203845023e-06	0.0003423101865	0.001900057743
0.003035190218	0.00840846952	0.00386560341
4.151401294e-05	0.001778480509	0.001545460476
0.001050809952	0.001122016962	0.004661044961
0.002868594221	0.003695429183	0.0007030485251
0.001585160185	0.0006995654708	0.00305393877
0.002462041939	0.001483957009	0.002441079869
0.001686937689	0.0001196828665	0.002576635679
0.001128698051	0.00108086812	0.006235934486
0.002516625904	0.003374582815	0.004595623546
0.0009342353403	0.0007331740142	0.003838919819
7.989408928e-05	5.69617641e-05	3.214520514e-05
0.001051673541	4.472720522e-05	0.0001001746041
0.0018054936	0.003851540972	0.002062912996
0.01504476204	0.005729300608	0.003311226634
0.00703858964	0.0009192565773	0.007711070764
0.007098472704	0.001762533935	0.003079929121
0.001680204676	0.003554619229	0.002849906143
0.0006789350101	0.001002629264	0.002695598957
0.002977891445	0.002907180655	0.01141078908
0.0001219861189	0.0007214061619	0.003430074476
0.003281545305	0.0004708546777	0.004005032404
0.001562903166	0.0009908596968	0.002766596427
0.008779683063	0.000485168977	0.001255551358
0.0005728491539	0.001544000097	0.0009505184876
0.0133075535	0.0002973808172	0.003983429571
0.001697984401	0.003812613638	0.002025410547
0.005001546592	0.000420455564	0.002388770721
0.003012723277	0.003613824475	0.004544429911
0.004585621102	0.01020945744	0.01186171239
0.003206620819	0.003902812639	0.009876925902
0.0008944256161	0.001616483518	0.002880720539
0.002854802517	0.001203885822	0.005553555076
0.009829558482	0.01132903171	0.01632343009
0.003230769358	0.002422007573	0.007921129733
0.0008973689656	0.001620685888	3.09320236e-05
2.585485482e-05	0.001278671511	0.003413007394
0.003777884975	0.009152355984	0.005218344029
0.0008338189754	0.0003006829455	0.00327338078
0.0005356378677	0.001865479827	0.003692923566
0.003946942463	0.003289159143	0.001563905463
9.355466142e-05	0.0005749465109	0.003401397182
0.0008526340012	0.0002693427511	0.003910198545
0.0002993319868	0.001151162051	0.00315037155
0.006872280792	0.0005032621496	0.001305296127
0.0005581210264	0.001040002901	0.00128563063
0.0007974539692	0.002734420857	0.00589942112
0.0009452662617	0.001881392838	0.004053019794
0.0009797115922	0.005398341471	0.004433848448
0.0005139726351	0.0001807762502	0.001724122168
0.001967355303	0.0003654979695	0.0001041484613
0.0008840828129	0.0002885589667	0.006039684201
0.001137759326	0.0003105778786	0.001800756362
4.231738135e-05	0.00020845341	0.006639107387
0.01407071338	0.001675287942	0.002657034526
0.0007854938035	0.008571364886	0.001566804918
0.008632902923	0.01360419729	0.002060141574
0.0007310747922	0.0003719937887	0.001990887967
0.0008961857701	0.0005583633591	0.002381830057
0.001055668158	0.000890825945	0.003971500587
0.001500215812	0.002047185793	0.002084427032
0.002065872339	0.007467642582	0.006081886248
0.001133404176	0.001267855651	0.003084690758
0.0004420194725	0.002095744792	0.0005918483169
0.0002748897167	0.0007524226282	0.002920042987
0.001015031506	7.747958468e-05	0.0006561031257
0.001112870741	0.00151326584	0.004269128333
0.001904897851	0.000831861034	0.001495483146
0.0008257782866	0.001852802745	0.005004809378
0.01944029908	0.009892385283	0.0002722194451
0.0005040202543	0.0008271300425	0.003457798674
0.002476514868	0.001812649296	0.003544255041
0.0003352869758	0.01204484259	0.005864695877
0.01185751405	0.01351871893	0.006463706331
0.00868795514	0.007199314213	0.006257431604
0.001469121661	0.0007513243652	0.003490176263
