Node	baseline exact	exact	ew
2100	0.1002408497	0.09893112795	0.1046933696
2101	0.08598260402	0.08523824311	0.08619542692
2102	0.003372560358	4.08719346e-05	0.2
2103	0.00772099675	0.007616935815	0.2215731227
2104	0.06098356885	0.06257651919	0.06005919001
2105	0.007641067797	0.04493974268	0.02174442449
2106	0.03321779827	0.06194763798	0.02459950271
2107	0.107184922	0.1053632539	0.1166896168
2108	0.06227489241	0.06191459995	0.946530341
2109	0.02922812569	0.02387107502	1.228932987
2110	0.09075621394	0.08944832045	0.09369003303
2111	0.06512039746	0.08433670496	0.02789849088
2112	0.07341732139	0.0811440884	0.0727973413
2113	0.02994907307	0.03590446802	1.224092671
2114	0.09664776	0.09562806126	0.09809439576
2115	0.05087301149	0.05432424293	0.3538066518
2116	0.003393550979	8.174386921e-05	0.4079225503
2117	0.01977218736	0.007811605126	0.02387349816
2118	0.000176657584	0.0001634877384	2.4
2119	0.0002520435967	0.0002179836512	1.7
2120	0.0242461348	0.01470727944	0.4421260254
2121	0.03197255711	0.02534757434	0.4485969772
2122	0.07236788668	0.07273860139	0.08335558147
2123	0.04164989892	0.05703312433	0.04069649785
2124	0.05127349439	0.05091052158	0.04622609391
2125	0.0849928268	0.09037889593	0.09729989621
2126	0.03623960146	0.01623947836	0.5422215162
2127	0.02352319108	0.008478549879	0.02390338687
2128	0.06998122302	0.07087518845	0.6668976826
2129	0.0766916887	0.07513499815	0.0782030248
2130	0.04558969839	0.04117098703	0.05942730278
2131	0.07159066993	0.04879105336	0.08082635616
2132	0.006528212491	0.01341076077	0
2133	0.06865954193	0.06407412043	0.08084489305
2134	0.05499520321	0.02964208476	0.1476097271
2135	0.09298107433	0.1005971781	0.1034265481
2136	0.02660445025	0.01851243806	0.02921058986
2137	0.03329909431	0.04021067273	2.13018681
2138	0.02743325442	0.03077934148	2.81086515
2139	0.01686539089	0.006938448199	0.04240459327
2140	0.04124059563	0.0373267955	0.04599059201
2141	0.06206879912	0.03989385264	0.0342333722
2142	1.089918256e-05	1.816530427e-05	1
2143	0.09154712196	0.08626529724	0.09331152671
2144	0.06865722496	0.06882760755	0.06597355832
2145	0.07611028041	0.06748034212	0.07604163432
2146	0.09598440025	0.09542422946	0.09298437796
2147	4.281821721e-05	6.08537693e-05	0
2148	0.0003678474114	0.000340599455	2
2149	0.04138823934	0.04258062994	0.04386682594
2150	0.06712065126	0.0625246147	0.06803141879
2151	0.06027474924	0.06546014632	1.252880226
2152	0.0002179836512	0.0002179836512	1.5
2153	0.0001634877384	0.0001634877384	2
2154	0.02157463462	0.02289883763	0.0290320163
2155	0.06865411791	0.07783761368	0.07231884065
2156	0.03314715276	0.05984474921	0.2245360065
2157	0.03869492132	0.03858685895	0.3283925715
2158	0.06718343167	0.04180786804	0.07567800634
2159	2.04359673e-05	1.816530427e-05	0
2160	7.493188011e-05	9.536784741e-05	0.5
2161	0.01034045969	0.02047797783	0.5319472222
2162	0.07313954532	0.07268273057	0.2827209014
2163	0.08740199102	0.08685951592	0.09269038298
2164	0.1115713964	0.1110550128	0.1199988517
2165	0.08302343237	0.08694225615	0.06369855736
2166	0.01000717009	0.008229364434	1.514338926
2167	0.0088683688	0.007155897747	1.91262302
2168	0.005837801347	0.02329011	0.02447751092
2169	0.04758163657	0.05444635073	0.03799312784
2170	0.0897706485	0.08827099465	0.09385918949
2171	0.08386988803	0.08365994998	0.0727613417
2172	0.03451529564	0.0380148114	1.21897606
2173	0.03053500777	0.03391053504	1.71693961
2174	0.04547225771	0.03273637067	0.02453186276
2175	0.08035355269	0.07323240225	0.0774292456
2176	0.006685334058	0.007250024191	0
2177	0.000146684832	0.0001453224342	1.2
2178	0.002795738249	0.006092242193	1.100058388
2179	0.00800777158	0.01286077309	0.0003377777071
2180	0.09760842351	0.07994009058	0.5777214653
2181	0.07060535893	0.07432580983	0.4670835366
2182	0.003105201419	0.006658936481	0.01242967064
2183	0.06765316636	0.0736331946	0.07609721412
2184	0.08718552363	0.07578273456	0.09498666063
2185	0.0001521344233	0.0001680290645	2.8
2186	0.000204359673	0.0002316076294	1.9
2187	0.009031134999	0.01276428505	0.0173775068
2188	0.1018366636	0.1002461392	0.1022271758
2189	0.04667175501	0.07504275931	0.1115021133
2190	0.09416329624	0.09636803609	0.09782148828
2191	2.04359673e-05	5.449591281e-05	0.3
2192	0.07895609554	0.07376086194	0.0797069736
2193	0.050216411	0.02716463725	0.05291704064
2194	0.09477846155	0.09075628032	0.09421021263
2195	0.06188414859	0.07144782587	0.07918846679
2196	0.002437062803	0.0001930063579	1.50543708
2197	0.002189407141	0.0001180744777	0.8049336465
2198	0.01502554885	0.005000515296	1.911253504
2199	0.01661102245	0.005542414788	1.412605894
2200	0.06865382273	0.06754711192	0.07080013977
2201	0.02866571756	0.03033042971	0.03468867445
2202	0.02625939507	0.0250636808	0.5133411527
2203	0.1111330334	0.1104723176	0.1135011014
2204	0.0280551419	0.019519912	0.01988949057
2205	0.06910608271	0.07318032938	0.4587483896
2206	0.05224315466	0.0326392464	1.124196638
2207	0.01863788945	0.0002872388738	3.306697889
2208	0.03611183148	0.03517145041	0.02952609771
2209	0.03840487448	0.04004840455	0.04725969258
2210	0.1065793427	0.1069864038	0.1149915517
2211	0.0929416654	0.09344095274	0.09541905744
2212	0.05903705795	0.06672987555	0.06008892001
2213	0.04661244056	0.05699423329	0.05195730191
