Node	exact	ew	pps
3546	0.006322098653	0.425332519	0.007049699445
3547	0.00400376618	0.3357135525	0.003702679086
3548	0.002405907976	0.4660347569	0.002776079169
3549	0.01222244033	0.3516570441	0.01227215511
3550	0.0149302742	0.455507578	0.01506870479
3551	0.003377153263	0.4342169921	0.003990334197
3552	0.01185635635	0.1869486738	0.0099860701
3553	0.00129146533	0.2775915416	0.00296047091
3554	0.0153590937	0.4408633398	0.0162102907
3555	0.004610629379	0.4194752545	0.003982545544
3556	0.008127890433	0.3817797965	0.006954689476
3557	0.01489066597	0.172519102	0.01342142349
3558	0.02239288516	0.05185954324	0.02119690584
3559	0.02994789902	0.1873142294	0.02778769158
3560	0.00894056737	0.4025458432	0.009069651373
3561	0.006544055768	0.1004483607	0.0073360871
3562	0.004365004067	0.4304172082	0.004432310983
3563	0.008760100087	0.2772766441	0.004881048775
3564	0.01297904497	0.390594739	0.01320069624
3565	0.001523918422	0.378034135	0.001555662092
3566	0.004818443506	0.005936718504	0.00490839687
3567	0.0005443438048	0.453485574	0.0004742572896
3568	0.003820039626	0.04082827984	0.004317731332
3569	0.004052873326	0.06433931396	0.003446068761
3570	0.007134501541	0.3530782247	0.007269874379
3571	0.0115564928	0.383694839	0.01200419151
3572	0.007600128813	0.2128304926	0.007476550383
3573	0.004582127885	0.3039884395	0.005433278575
3574	3.262885536e-05	4.08719346e-05	3.517006642e-05
3575	3.262885536e-05	4.08719346e-05	3.517006642e-05
3576	0.01632087786	0.02058538633	0.01667429824
3577	0.02570549845	0.3916767832	0.02612633247
3578	0.02908008437	0.3973107196	0.02989518286
3579	0.006280967696	0.3491871427	0.007932854029
3580	0.003616875492	0.4290768198	0.003208334476
3581	0.006220744471	0.241416551	0.004983472607
3582	0.003752657157	0.3661896924	0.006200681451
3583	0.005530059457	0.3136394677	0.008075034517
3584	0.005279648805	0.281515902	0.007424898316
3585	0.009736634382	0.1546368354	0.01090182986
3586	0.003437236289	0.05750267402	0.0009738978377
3587	0.01189519323	0.3214637321	0.01370091514
3588	0.0004825751772	0.4405980315	0.0006522658169
3589	0.001788863565	0.0223721966	0.002745227391
3590	0.01294130837	0.08569606312	0.01208015206
3591	0.001217516665	0.1473351107	0.002873438848
3592	0.01983102577	0.4449441415	0.01992701725
3593	0.004963326217	0.3902620641	0.005795371667
3594	0.01222277586	0.3716468806	0.01277148799
3595	9.097293406e-05	0.4498083165	0.0003807384295
3596	0.006540061784	0.3009838868	0.00550244085
3597	0.007744901698	0.3431193097	0.008180616748
3598	4.702783176e-05	0.3811748868	0.001839304963
3599	0.009488965472	0.387813963	0.009314251422
3600	0.02143355912	0.4338949574	0.02002931211
3601	0.004117169983	0.4087863904	0.003474828238
3602	0.01093680147	0.404363554	0.01038914681
3603	3.477910285e-06	0.0001830292021	7.430866977e-06
3604	0.007184628433	0.4044399411	0.007705563162
3605	1.465436311e-05	2.72479564e-05	1.572115814e-05
3606	1.465436311e-05	2.72479564e-05	1.572115814e-05
3607	0.0009664801375	0.4265755474	0.0009709552617
3608	0.001009866952	0.4196818049	0.001175986885
3609	0.005284739078	0.08662645223	0.005726295433
3610	0.01555760149	0.3427494343	0.01479217393
3611	0.01184897924	0.3824866436	0.01085136035
3612	0.0006328098765	0.4235420541	0.0006899875822
3613	0.001196320556	0.1043926444	0.002493523017
3614	0.01033643741	0.1231671914	0.009971285623
3615	0.001644832781	0.07350307651	0.001921595902
3616	7.687692367e-06	0.0002656026988	5.509679407e-06
3617	0.003984919106	0.2642258145	0.003595626578
3618	0.004202378235	0.2175223315	0.0008466356083
3619	0.02055075997	0.4106888612	0.02089690871
3620	0.003748833775	0.258910541	0.005008837672
3621	0.002745786163	0.02279307273	0.003171227426
3622	0.002029577793	0.0142936666	0.001898020711
3623	0.005971111049	0.2436523225	0.005155933372
3624	0.00153587942	0.01554752672	0.001753402667
3625	0.003968765681	0.4362740302	0.003974706884
3626	0.004016309823	0.4381715744	0.004705229723
3627	2.30937305e-05	0.0007587966574	1.827712718e-05
3628	0.0008154120549	0.4241460663	0.001351746272
3629	0.00163650185	0.4165747895	0.001780888087
3630	0.002226319286	0.4260839016	0.002063817374
3631	0.003729576396	0.1749864689	0.002794715954
3632	0.0005077351215	0.3040241069	0.001405932959
3633	0.000803118162	0.4340947425	0.001628614834
3634	0.003391220319	0.02729537833	0.002998522736
3635	0.006870973778	0.1778716333	0.005048245446
3636	0.008787735398	0.3694598388	0.01023042043
3637	0.001950598631	0.1383925911	0.001800035588
3638	0.01008567392	0.1458147287	0.009828658661
3639	0.004692838096	0.3850692609	0.004902775969
3640	0.008624636401	0.32475488	0.01189314391
3641	0.0001190305488	0.0902445549	0.001021568895
3642	0.005647130512	0.01271007219	0.005819578248
3643	0.004095586976	0.4321812122	0.004156041281
3644	0.003616874633	0.3305730321	0.003004514438
3645	0.001524094303	0.2536376311	0.003706416295
3646	0.0007254800598	0.3249479906	0.001656902421
3647	0.005990154968	0.3088742001	0.00605509388
3648	0.0009145166212	0.005149130161	0.0007754399331
3649	0.00767476606	0.1186095036	0.005980865947
3650	0.001660099417	0.4515483241	0.00201857191
3651	0.001374408328	0.4356712158	0.001325199387
3652	0.003198308704	0.3847640411	0.003919431278
3653	2.707240935e-05	0.0001044504995	3.166280218e-05
3654	0.0237638805	0.4137184854	0.02327330632
3655	2.201817031e-05	0.0006454153117	2.242352771e-05
3656	0.01762895776	0.2146770413	0.01903439305
3657	0.0002222576145	0.4327627286	5.061535235e-05
3658	0.006422656762	0.03508564203	0.008011878736
3659	1.831795388e-06	0.000136239782	1.128067446e-06
3660	1.831795388e-06	0.000136239782	1.128067446e-06
3661	0.009260920997	0.08375456662	0.01007159889
3662	0.002961084949	0.1829956244	0.003173735634
3663	0.005619272448	0.4512118072	0.004887264589
3664	0.00879324968	0.4089848994	0.009747624823
3665	0.01108387266	0.4536365844	0.01026083065
3666	0.003702177457	0.2055853812	0.004999374602
3667	0.01843388326	0.1900443116	0.01903128011
3668	2.781925951e-05	0	3.597113184e-05
3669	0.001374759924	0.01585139384	0.00165109716
3670	3.854402797e-06	0	3.231873665e-05
3671	0.005111847416	0.03901833997	0.004502942449
3672	0.01695365805	0.2727633305	0.01926560589
3673	0.008173366177	0.0325395796	0.008468035729
3674	0.0006808007044	0.4442993285	0.0001691620011
3675	0.005804490082	0.3723790112	0.00670313726
3676	0.001410787404	0.4354824579	0.001312772138
3677	0.007221772496	0.11093858	0.008073830587
3678	0.001648092801	0.233786399	0.0005321782266
3679	0.004883011066	0.3810389451	0.001889279007
3680	0.001317851657	0.4230065554	0.001065822052
3681	0.0005148387475	0.4566169283	0.0005159626255
3682	0.001583926094	0.2117861372	0.0009866891757
3683	0.000599002973	0.4274978461	0.0003137516026
3684	1.685139418e-05	9.342156481e-05	1.701406283e-05
3685	0.0172514333	0.1746878616	0.01762524308
3686	0.008083963959	0.3995707305	0.008853216479
3687	0.002865558511	0.05616172249	0.002681109848
3688	0.005063484921	0.158097786	0.00555065751
3689	0.008595752782	0.4323262781	0.009034862286
3690	0.0001350510656	0.0002162224563	0.0001471721004
3691	0.009205018894	0.1212170611	0.009285173259
3692	0.001101663766	0.2275582239	0.0009538963564
3693	0.001874445448	0.3557929764	0.001356051931
3694	0.01256471833	0.2166136477	0.0150609481
3695	0.006750262481	0.0953662141	0.006809286172
3696	0.00881301102	0.1926401	0.009842361905
3697	0.003348561716	0.4488509355	0.003524076383
3698	0.002965533704	0.3302144431	0.00398739618
3699	0.02828320883	0.2430811069	0.0315728102
3700	0.002004414174	0.1327258575	0.003613945755
3701	0.003457116494	0.08694437917	0.003057777325
3702	0.003074937434	0.4342154237	0.002901244726
3703	0.009999308682	0.06545388807	0.01073698974
3704	0.004475308929	0.3257514297	0.001870084554
3705	0.0007027664228	0.451500001	0.0007123371274
3706	0.003419090885	0.4248001987	0.003141958571
3707	0.0003852968353	0.2300561836	0.002127350331
3708	0.00353350114	0.4426293065	0.004839687747
3709	0.003581858048	0.0266848145	0.003223267368
3710	0.008926213595	0.3565181904	0.008773308415
3711	0.0001872251895	0.095959337	0.001665273548
3712	0.008242406534	0.3432039389	0.009161993379
3713	0.01830021105	0.2546153275	0.018192732
3714	0.01448526892	0.327875926	0.01273793106
3715	0.01015162834	0.2112536344	0.008070420227
3716	0.006120232306	0.3390976073	0.004241239412
3717	0.009045090069	0.2117570214	0.006013262616
3718	0.01148401135	0.1435446795	0.01031909717
3719	0.003394544022	0.1472232137	0.001901173684
3720	0.009099516055	0.07002478516	0.007835387358
3721	0.002904820513	0.4420479108	0.003063345995
3722	0.02269237725	0.4475975901	0.02295101305
3723	0.001233250896	0.1464966688	0.001058388936
3724	0.005739061819	0.04385159339	0.006145112212
3725	0.001625720917	0.2269334269	0.0004354196811
3726	2.839282852e-05	8.174386921e-05	2.985276669e-05
3727	2.839282852e-05	8.174386921e-05	2.985276669e-05
3728	1.9462826e-05	8.174386921e-05	1.93719946e-05
3729	1.9462826e-05	8.174386921e-05	1.93719946e-05
3730	0.003347499202	0.05078696535	0.003946209942
3731	0.001287274652	0.0166855481	0.001515325612
3732	0.001179352186	0.01387537553	0.001241980614
3733	0.003155610912	0.126718618	0.004099444188
3734	0.01114510611	0.4003774268	0.01261662158
3735	0.0113049491	0.4200780911	0.01211190808
3736	0.0008974642012	0.4351306126	0.0005693233505
3737	0.004270037645	0.1251615503	0.002458327786
3738	0.0001691221014	0.4263483977	6.864031748e-05
3739	2.284183428e-05	0.0002117987976	1.647269848e-05
3740	0.0144193513	0.38775604	0.01243850991
3741	0.001335851773	0.1333096971	0.001061408039
3742	0.009498134328	0.1958207573	0.00916959642
3743	0.009538745985	0.2704497324	0.00916654905
3744	0.0051430533	0.3019714628	0.005375601602
3745	0.004771661564	0.4190631017	0.003283336842
3746	0.004492750079	0.2760306832	0.007240883361
3747	0.003625644978	0.3405944278	0.003060208596
3748	1.9462826e-05	0.000136239782	1.574166845e-05
3749	1.9462826e-05	0.000136239782	1.574166845e-05
3750	0.01285343922	0.181584237	0.01244041179
3751	1.065682652e-05	3.784438389e-05	9.813294905e-06
3752	0.004964247615	0.3900411524	0.004405565136
3753	0.009970753177	0.02348109974	0.009667489007
3754	0.01264409747	0.3710107605	0.01108835663
3755	0.006677675325	0.2319848923	0.006821234156
3756	0.006565224682	0.4116953703	0.008460023167
3757	0.01044455259	0.3161565716	0.00588333873
3758	0.01037271317	0.3094567158	0.01179178336
3759	0.00919114347	0.3293525674	0.009665450343
3760	0.02600413535	0.2027390659	0.0261453969
3761	0.007454438757	0.4240347619	0.006905946021
3762	0.006915196967	0.2682278453	0.00800303776
3763	0.004763054105	0.237224856	0.004238933376
3764	0.007589631707	0.2396015234	0.009400326743
3765	0.01187793556	0.3354255622	0.01301884337
3766	0.0006674773173	0.4465722434	0.0006264288507
3767	0.0002278075299	0.004118161811	0.0003036076105
3768	0.00577905854	0.1843300517	0.005395603586
3769	0.01440777842	0.2923214523	0.0178393242
3770	4.693975683e-06	1.36239782e-05	5.245513624e-06
3771	4.693975683e-06	1.36239782e-05	5.245513624e-06
3772	0.002922964774	0.03366398429	0.00299030059
3773	0.007890479742	0.1356471959	0.008293678319
3774	0.002990650683	0.204856537	0.003006486218
3775	0.01159676158	0.1668998047	0.01163772592
3776	4.338111266e-05	0.0001070996064	4.685881074e-05
3777	2.873629016e-05	1.36239782e-05	2.73966562e-05
3778	2.873629016e-05	1.36239782e-05	2.73966562e-05
3779	0.0006498864885	0.4515228113	0.0004470913521
3780	0.0008287185138	0.4463883873	0.0007346955658
3781	0.00856181068	0.1602881651	0.008612468538
3782	0.0006628908978	0.05187994088	0.0002891091496
3783	0.002428575535	0.4302899055	0.002443005891
3784	0.007215605453	0.4708522203	0.007634401526
3785	0.002446771115	0.01884164745	0.001821901796
3786	0.008708783066	0.06715457975	0.009107398057
3787	0.003045330438	0.4289145224	0.002731369313
3788	2.862180294e-05	8.174386921e-05	3.441631227e-05
3789	2.862180294e-05	8.174386921e-05	3.441631227e-05
3790	0.0007418075747	0.1788212069	0.0009652302867
3791	0.006285629099	0.2660198612	0.002779500707
3792	0.009769810865	0.3346731744	0.008879732246
3793	0.006254399132	0.3872860838	0.00547075617
3794	0.00339920353	0.05479865654	0.00375915987
3795	0.001730328044	0.4127916379	0.0005462209458
3796	0.01122483663	0.2174372456	0.01248262893
3797	0.02664814179	0.2253343546	0.02658758428
3798	0.005558815142	0.2045789046	0.00565693591
3799	0.02193911045	0.1906560153	0.02078103993
3800	0.002250805254	0.02851535045	0.002529747243
3801	0.01829619723	0.08977187154	0.02024795864
3802	0.007241743243	0.4268216213	0.006786341644
3803	0.00895873341	0.1875645399	0.01022855631
3804	0.01088205821	0.09519080307	0.009352682615
3805	1.935706163e-05	0.0002025431426	1.814513579e-05
3806	0.0007381228071	0.4349176613	0.000348375022
3807	0.0007812942551	0.4335429864	0.0008849134174
3808	0.000536453959	0.004527824355	0.0005193586732
3809	0.006020120086	0.4134797353	0.005786166996
3810	0.003803582006	0.2952012255	0.003826470651
3811	0.00421105855	0.425092728	0.005270955664
3812	0.01742297845	0.2919056875	0.01477416026
3813	0.004605141731	0.352074291	0.003780065922
3814	0.008707575419	0.3485130241	0.01229693981
3815	0.01059488756	0.1576653394	0.009814447937
3816	2.442393851e-05	4.995458674e-05	2.820937752e-05
3817	8.052267228e-06	1.36239782e-05	8.641680315e-06
3818	0.0003173906077	0.4438038509	0.0004079688533
3819	0.001214602301	0.4209926233	0.002053589404
3820	0.008763769244	0.3512755164	0.01047125513
3821	0.002477202398	0.08326174245	0.002531872698
3822	0.004067573498	0.2314455232	0.001898648174
3823	0.006595534006	0.3017872693	0.006863291975
3824	0.0116243906	0.1633819921	0.01369509207
3825	0.006292409486	0.1637502701	0.006593045328
3826	0.003065498325	0.03506457416	0.003224738842
3827	0.009634956015	0.332100453	0.0112175171
3828	0.009285106428	0.3056205305	0.01002564023
3829	0.001529876584	0.0141226158	0.001593732785
3830	0.002409036863	0.06779106654	0.00424847165
3831	0.003713509523	0.02542941731	0.005250853249
3832	0.01344959085	0.3693649758	0.01393592703
3833	0.001199331136	0.3871776565	0.001747840792
3834	0.003824629527	0.2732085814	0.0002577198689
3835	0.0001663114308	0.001729668833	0.0001490973029
3836	0.008046798034	0.3499605542	0.007683572962
3837	7.785130401e-06	0.0001089918256	6.327432857e-06
3838	7.785130401e-06	0.0001089918256	6.327432857e-06
3839	0.01615171801	0.4172643899	0.01556225754
3840	0.001625469712	0.01376058478	0.002118675358
3841	0.0008560360757	0.3809243881	0.001637486227
3842	0.00226443952	0.3046053027	0.0003726542332
3843	0.008169966838	0.3086748528	0.00682290672
3844	0.003626005372	0.1516901564	0.002071008526
3845	0.001300944361	0.3901002074	0.0001422681176
3846	0.005280453754	0.3087825661	0.006538652821
3847	0.0009487218626	0.436477194	0.0004602350902
3848	0.002949316507	0.0240148502	0.00225811139
3849	0.01293303997	0.1771627412	0.01337181622
3850	0.0005021331101	0.4599233112	0.0006432406233
3851	0.001781604043	0.01491998533	0.001927678231
3852	0.007717398434	0.04609571668	0.007620168587
3853	0.002091885343	0.06090055963	0.002764183279
3854	0.007289345922	0.3608857007	0.008642022207
3855	9.277894021e-05	0.3639952589	0.00108073359
3856	0.006000758014	0.3631376782	0.006371389775
3857	0.0007121908661	0.1016497838	0.0009190186211
3858	0.00148458357	0.3489990172	0.0001844977966
3859	0.002319591437	0.4433401206	0.002158320421
3860	0.00658791055	0.1174551744	0.004186022143
3861	0.002808615207	0.05329330011	0.003214685035
3862	0.003716414732	0.4176368075	0.001489335595
3863	0.006614376217	0.1743400166	0.008445259711
3864	0.003503767127	0.4299114189	0.003922591908
3865	0.004694499371	0.2441524065	0.002567382963
3866	0.0005302128867	0.442975158	7.926113046e-06
3867	0.005361842076	0.09735666334	0.004893718351
3868	0.01451730662	0.1991241548	0.01198364427
3869	0.002271887598	0.4254834324	0.0004487398852
3870	0.01578427002	0.3430202512	0.01749696679
3871	0.0004403467752	0.4208467289	0.0001252338173
3872	0.003347069598	0.01078578914	0.00126936125
3873	9.894986476e-05	0	1.008423929e-06
3874	0.00199974403	0.03804504546	3.603369348e-05
3875	0.0006446242344	0.1252108702	0.001466554779
3876	0.007461371171	0.19040216	0.006157199088
3877	0.01873303266	0.430454299	0.01878000588
3878	0.001229254351	0.4161034842	0.001597552806
3879	0.004140076035	0.4551153646	0.005073143866
3880	1.125899951e-05	8.719346049e-05	1.336820152e-05
3881	0.004692487513	0.1560571085	0.002656545647
3882	2.496346077e-05	0.0002250163004	4.547662691e-05
