node_id	error
0	0.1601751173
1	0.1171867354
2	0.1197182061
3	0.1188494881
4	0.1254132761
5	0.118936206
6	0.1234535944
7	0.1287724538
8	0.1196040134
9	0.1186704967
10	0.1221198929
11	0.1185762182
12	0.1262057132
13	0.1143836741
14	0.11871745
15	0.1201757799
16	0.1149825874
17	0.1016383396
18	0.1019463091
19	0.1152959649
20	0.1206181221
21	0.1140876979
22	0.09543372809
23	0.1212321878
24	0.1116819233
25	0.1111788822
26	0.1039388867
27	0.1068984762
28	0.06445173491
29	0.105278825
30	0.1028035863
31	0.08978571576
32	0.1173687566
33	0.1148756844
34	0.1092473908
35	0.1166072694
36	0.1272956711
37	0.1183962372
38	0.1090088055
39	0.116978527
40	0.1271437178
41	0.1218273564
42	0.116231
43	0.1109618777
44	0.1082937195
45	0.1185385462
46	0.1197808818
47	0.1249812916
48	0.1212232911
49	0.1253890551
50	0.1078391136
51	0.1144453187
52	0.102113301
53	0.1232602315
54	0.1103551598
55	0.1251883096
56	0.1173564792
57	0.1132479783
58	0.1204237294
59	0.1059025901
60	0.1132624049
61	0.128212263
62	0.1152818474
63	0.1125569186
64	0.1218862367
65	0.1020261139
66	0.08330298938
67	0.1095956684
68	0.1192847603
69	0.1267104653
70	0.1124697845
71	0.1242924757
72	0.1079215512
73	0.1155778012
74	0.114116932
75	0.06619884544
76	0.0861717162
77	0.03822898419
78	0.03573630008
79	0.05881987601
80	0.09189247528
81	0.102393145
82	0.1057327187
83	0.02377364628
84	0.1052572038
85	0.046489623
86	0.1163291162
87	0.09821971014
88	0.002956351433
89	0.06762106871
90	0.1197728574
91	0.1213879782
92	0.1176456269
93	0.116717338
94	0.1189962418
95	0.1214723286
96	0.1143203865
97	0.1198061659
98	0.1208233693
99	0.1252020501
100	0.1231699402
101	0.1262198513
102	0.117476306
103	0.1184472669
104	0.0915174457
105	0.1049319647
106	0.1180653406
107	0.1128543753
108	0.09260621151
109	0.09848116975
110	0.1145207363
111	0.1187547169
112	0.0980028532
113	0.1055177144
114	0.1105314194
115	0.1129938517
116	0.09552975116
117	0.05942711911
118	0.0974607029
119	0.1023476164
120	0.08571247475
121	0.1064471536
122	0.09798294009
123	0.1003143095
124	0.1240995636
125	0.1167683286
126	0.1182139972
127	0.1204648896
128	0.1012920042
129	0.1047422812
130	0.1025407797
131	0.1089108969
132	0.1010577831
133	0.1221574917
134	0.1039373691
135	0.1285737509
136	0.1055061834
137	0.1073157917
138	0.1102804248
139	0.1121289111
140	0.1253431551
141	0.1286326297
142	0.1213827392
143	0.124061606
144	0.126261943
145	0.110423935
146	0.1106671291
147	0.1102342264
148	0.09758792876
149	0.1074939093
150	0.09520380574
151	0.1055615664
152	0.1011774161
153	0.117787583
154	0.1157108556
155	0.1296047032
156	0.1100261639
157	0.1062425704
158	0.1034967967
159	0.1109785497
160	0.1144452728
161	0.1168277404
162	0.1162027124
163	0.1120983156
164	0.1113335839
165	0.09844622686
166	0.1112360673
167	0.1161349633
168	0.1062581972
169	0.1290405477
170	0.1153776464
171	0.1177091785
172	0.1101498902
173	0.09687838688
174	0.1223984859
175	0.1027215862
176	0.1200863236
177	0.1042924067
178	0.10631179
179	0.1110483013
180	0.09689683884
181	0.1163439995
182	0.1078440758
183	0.0962470316
184	0.1207226824
185	0.1129731592
186	0.1027423544
187	0.1105393641
188	0.09029419632
189	0.1134092248
190	0.1024399912
191	0.1300026887
192	0.1133158034
193	0.1108899501
194	0.1177947251
195	0.106208451
196	0.1058846748
197	0.1043054466
198	0.117758212
199	0.1162982637
200	0.1025217996
201	0.1332818627
202	0.1205965955
203	0.1168983751
204	0.1163505976
205	0.1181543426
206	0.1134763603
207	0.1071802598
208	0.1141861731
209	0.1073571218
210	0.1113310296
211	0.09463057157
212	0.1091070823
213	0.1166231687
214	0.1214404721
215	0.1187662493
216	0.110404034
217	0.1120942881
218	0.1020580293
219	0.1080315271
220	0.1047891008
221	0.1196968515
222	0.114701918
223	0.07055391909
224	0.1209942588
225	0.0978183902
226	0.1130652224
227	0.1226764561
228	0.1165656693
229	0.116793285
230	0.09576113701
231	0.1266684504
232	0.1224733284
233	0.1137305279
234	0.1120486112
235	0.1101988038
236	0.1058282206
237	0.06766506113
238	0.1155698597
239	0.08143534657
240	0.1154724686
241	0.1163403787
242	0.1248742927
243	0.1148981914
244	0.1200753994
245	0.1269083435
246	0.1249573189
247	0.09373962732
248	0.08360234977
249	0.09821416784
250	0.06762315091
251	0.08285215206
252	0.08243968694
253	0.07740703669
254	0.09467619656
255	0.09504815029
256	0.08571324904
257	0.09092247297
258	0.08407501582
259	0.08533196062
260	0.08436753388
261	0.07953304549
262	0.0842494432
263	0.09207774721
264	0.08323159145
265	0.08124019875
266	0.05154549092
267	0.1193085827
268	0.06978404868
269	0.1071638223
270	0.1018253071
271	0.1191290933
272	0.1107025661
273	0.1172272996
274	0.09768346914
275	0.0992757423
276	0.1135895803
277	0.09537921733
278	0.1096725987
279	0.1048530652
280	0.09710048797
281	0.1132379397
282	0.1193399018
283	0.1122882297
284	0.02524955454
285	0.09555033792
286	0.09983759334
287	0.09850075803
288	0.1215849224
289	0.1046438428
290	0.1061229117
291	0.09154431946
292	0.1043708292
293	0.1098151877
294	0.1189010755
295	0.100839518
296	0.1157814705
297	0.09160644038
298	0.07060890848
299	0.1040059885
300	0.1035190121
301	0.1049670389
302	0.1135956915
303	0.0217331386
304	0.1061900083
305	0.1155668696
306	0.1198678251
307	0.09721139214
308	0.09471680395
309	0.04486509999
310	0.08599129367
311	0.1009386364
312	0.04601803149
313	0.1189795272
314	0.09165912669
315	0.1015796156
316	0.10743307
317	0.1119857968
318	0.09100971945
319	0.1096428368
320	0.09263599259
321	0.1084051724
322	0.1196472978
323	0.04883928308
324	0.09788062133
325	0.1086578877
326	0.1116833113
327	0.09978227473
328	0.1200720226
329	0.1045198046
330	0.09876569593
331	0.1020526163
332	0.09812424821
333	0.06549126995
334	0.1069820092
335	0.09254564261
336	0.09752613641
337	0.09197479379
338	0.09849306381
339	0.07281635891
340	0.09320855295
341	0.06110605856
342	0.05706850374
343	0.08213700389
344	0.05965975644
345	0.09513302687
346	0.1058284218
347	0.1042184813
348	0.07627352244
349	0.1091883678
350	0.01171107771
351	0.04432478369
352	0.04349480206
353	0.07671290887
354	0.07281021172
355	0.0389987346
356	0.003880020629
357	0.007821410347
358	0.1039447231
359	0.09759626673
360	0.1105891167
361	0.09819042614
362	0.1028805411
363	0.1209878983
364	0.09567648973
365	0.1067007758
366	0.07425657463
367	0.1066329878
368	0.1159488984
369	0.05641074777
370	0.09385929977
371	0.1040171782
372	0.07801420954
373	0.1065659188
374	0.1107096787
375	0.09747631463
376	0.1048161148
377	0.1153993262
378	0.04315476173
379	0.1097036032
380	0.107249245
381	0.1136600171
382	0.09877616988
383	0.098969757
384	0.1135938952
385	0.1061967174
386	0.08505555465
387	0.1103223597
388	0.106397187
389	0.1097470516
390	0.1172480582
391	0.1183709882
392	0.1119301856
393	0.07438340321
394	0.07586831689
395	0.1172989967
396	0.1104680077
397	0.1048311705
398	0.1147108243
399	0.1090224633
400	0.101011759
401	0.1181455439
402	0.1193520938
403	0.1127577979
404	0.1036038928
405	0.1088751454
406	0.1154340467
407	0.09896216847
408	0.1193632355
409	0.1076906019
410	0.1128861308
411	0.1049933801
412	0.09632627503
413	0.1002031762
414	0.1093100721
415	0.04208183688
416	0.1034824225
417	0.1156367475
418	0.08555239749
419	0.1117880356
420	0.1039980506
421	0.09520362011
422	0.1182689072
423	0.1200363134
424	0.1067451902
425	0.1215014554
426	0.08712191509
427	0.1125658768
428	0.09579302443
429	0.08443775395
430	0.1010841827
431	0.1189565928
432	0.09689844384
433	0.09745309519
434	0.0548719237
435	0.1181413403
436	0.1092946538
437	0.1108855566
438	0.09626288044
439	0.08020559241
440	0.08214047202
441	0.1190024385
442	0.1014852409
443	0.05728617834
444	0.1201600991
445	0.09823095849
446	0.106523477
447	0.1037191067
448	0.11019197
449	0.04720764002
450	0.1092613397
451	0.07736150922
