distance,count
1,7587.23
2,128970
3,264136
4,913674
5,1.02969e+06
6,1.52072e+06
7,1.14917e+06
8,1.06768e+06
9,598282
10,442961
11,208458
12,137068
13,58398.8
14,36560
15,14521.7
16,8831.52
17,3453.66
18,2099.57
19,773.52
20,442.91
21,155.05
22,83.41
23,23.54
24,11.84
25,3.55
26,1.25
27,0.36
28,0.04
